Order_ID,Customer_Name,Product,Category,Quantity,Price_Per_Unit,City
101,Ali,Laptop,Electronics,1,120000,Lahore
102,Sara,Mouse,Accessories,3,1500,Karachi
103,Ahmed,Keyboard,Accessories,2,3500,Islamabad
104,Ayesha,Monitor,Electronics,1,45000,Lahore
105,Usman,Laptop,Electronics,1,118000,Faisalabad
106,Hina,Headphones,Accessories,2,7000,Karachi
107,Bilal,Mouse,Accessories,5,1400,Lahore
108,Zara,Keyboard,Accessories,1,3200,Islamabad
109,Hamza,Monitor,Electronics,2,46000,Multan
110,Noor,Laptop,Electronics,1,125000,Lahore
